HGNC_gene,h5_sample_frequency,biotype,gene_length,exon_count,exon_length_total,unique_exon_count,unique_exon_length_total,feature
HGSNAT,19265,gene with protein product,62392.0,67.0,15751.0,48.0,13754.0,protein coding
HHAT,17273,gene with protein product,348045.0,83.0,27256.0,25.0,9731.0,protein coding
HHATL,5188,gene with protein product,10162.0,71.0,10309.0,36.0,5829.0,protein coding
HHEX,17491,gene with protein product,5693.0,13.0,5444.0,11.0,5342.0,protein coding
HHIP,11128,gene with protein product,99116.0,41.0,15851.0,36.0,14958.0,protein coding
HHIPL1,10388,gene with protein product,35441.0,17.0,9612.0,11.0,8137.0,protein coding
HHIPL2,7400,gene with protein product,25847.0,21.0,4654.0,20.0,4571.0,protein coding
HHLA1,5240,gene with protein product,49680.0,42.0,8456.0,28.0,6943.0,protein coding
HHLA2,10105,gene with protein product,81757.0,71.0,14791.0,30.0,6391.0,protein coding
HHLA3,18474,"RNA, long non-coding",30554.0,29.0,6621.0,14.0,3641.0,lncRNA
HIBADH,19111,gene with protein product,137442.0,23.0,4735.0,20.0,4402.0,protein coding
HIBCH,19189,gene with protein product,154459.0,81.0,14103.0,48.0,11407.0,protein coding
HIC1,17005,gene with protein product,9088.0,15.0,16241.0,15.0,16241.0,protein coding
HIC2,18319,gene with protein product,34093.0,8.0,18505.0,6.0,11864.0,protein coding
HID1,16961,gene with protein product,22425.0,90.0,16448.0,69.0,13737.0,protein coding
HIF1A,19288,gene with protein product,52747.0,96.0,23586.0,50.0,14212.0,protein coding
HIF1AN,19112,gene with protein product,30927.0,24.0,16124.0,19.0,15509.0,protein coding
HIF3A,12312,gene with protein product,46392.0,156.0,28120.0,65.0,14830.0,protein coding
HIGD1A,17683,gene with protein product,21583.0,19.0,6353.0,13.0,5721.0,protein coding
HIGD1B,11726,gene with protein product,4124.0,15.0,2445.0,12.0,2020.0,protein coding
HIGD1C,5484,gene with protein product,18070.0,12.0,1569.0,10.0,1299.0,protein coding
HIGD2A,17752,gene with protein product,1011.0,2.0,654.0,2.0,654.0,protein coding
HIGD2B,8005,gene with protein product,10385.0,3.0,1134.0,3.0,1134.0,protein coding
HIKESHI,19023,gene with protein product,43733.0,30.0,8007.0,23.0,6718.0,protein coding
HILPDA,18170,gene with protein product,2570.0,8.0,4423.0,8.0,4423.0,protein coding
HINFP,18821,gene with protein product,14480.0,65.0,19031.0,45.0,16212.0,protein coding
HINT1,19423,gene with protein product,69086.0,55.0,23206.0,41.0,21051.0,protein coding
HINT2,18974,gene with protein product,2395.0,28.0,6132.0,20.0,5122.0,protein coding
HINT3,19077,gene with protein product,23475.0,5.0,3325.0,5.0,3325.0,protein coding
HIP1,19014,gene with protein product,205665.0,107.0,20428.0,46.0,14213.0,protein coding
HIP1R,18474,gene with protein product,28509.0,107.0,16504.0,76.0,13548.0,protein coding
HIPK1,19254,gene with protein product,48546.0,136.0,52331.0,38.0,17972.0,protein coding
HIPK2,19282,gene with protein product,216429.0,41.0,22235.0,21.0,18184.0,protein coding
HIPK3,19297,gene with protein product,100352.0,71.0,26966.0,27.0,13344.0,protein coding
HIPK4,8332,gene with protein product,10911.0,4.0,2446.0,4.0,2446.0,protein coding
HIRA,18561,gene with protein product,116753.0,58.0,8461.0,36.0,5137.0,protein coding
HIRIP3,18964,gene with protein product,3745.0,29.0,7916.0,27.0,7680.0,protein coding
HISLA,11829,"RNA, long non-coding",73507.0,492.0,128920.0,117.0,48161.0,lncRNA
HIVEP1,18986,gene with protein product,156238.0,51.0,33471.0,34.0,23374.0,protein coding
HIVEP2,18994,gene with protein product,205230.0,76.0,56830.0,30.0,29116.0,protein coding
HIVEP3,18658,gene with protein product,529561.0,42.0,43897.0,26.0,23055.0,protein coding
HJURP,14577,gene with protein product,21151.0,48.0,14009.0,26.0,8189.0,protein coding
HJV,4517,gene with protein product,19279.0,22.0,9371.0,15.0,6237.0,protein coding
HK1,19227,gene with protein product,131901.0,366.0,66135.0,100.0,23844.0,protein coding
HK2,18266,gene with protein product,59233.0,38.0,11299.0,22.0,6353.0,protein coding
HK3,13696,gene with protein product,18478.0,42.0,6877.0,38.0,6204.0,protein coding
HKDC1,13931,gene with protein product,47221.0,22.0,4857.0,22.0,4857.0,protein coding
HLCS,18620,gene with protein product,241611.0,80.0,38696.0,32.0,23661.0,protein coding
HLF,15578,gene with protein product,60228.0,34.0,18578.0,28.0,17137.0,protein coding
HLTF,19130,gene with protein product,56428.0,127.0,21496.0,50.0,9597.0,protein coding
HLX,16371,gene with protein product,5629.0,9.0,8558.0,9.0,8558.0,protein coding
HM13,19394,gene with protein product,63496.0,216.0,32755.0,87.0,20478.0,protein coding
HMBOX1,19154,gene with protein product,174370.0,114.0,24709.0,49.0,14654.0,protein coding
HMBS,18744,gene with protein product,8969.0,364.0,47433.0,108.0,25462.0,protein coding
HMCES,19196,gene with protein product,27359.0,47.0,10654.0,21.0,6086.0,protein coding
HMCN1,12342,gene with protein product,456559.0,133.0,22081.0,127.0,21306.0,protein coding
HMCN2,11057,gene with protein product,168364.0,251.0,45284.0,130.0,26376.0,protein coding
HMG20A,19073,gene with protein product,65196.0,57.0,17131.0,37.0,11905.0,protein coding
HMG20B,19259,gene with protein product,6312.0,76.0,14423.0,51.0,11418.0,protein coding
HMGA1,19262,gene with protein product,9359.0,44.0,13178.0,18.0,5088.0,protein coding
HMGA2,12995,gene with protein product,141832.0,47.0,24680.0,23.0,18795.0,protein coding
HMGB1,19442,gene with protein product,160894.0,34.0,16732.0,20.0,14471.0,protein coding
HMGB2,19379,gene with protein product,3057.0,21.0,6118.0,13.0,4452.0,protein coding
HMGB3,18602,gene with protein product,10263.0,23.0,6348.0,13.0,4798.0,protein coding
HMGB4,1581,gene with protein product,4317.0,12.0,6628.0,11.0,4701.0,protein coding
HMGCL,19148,gene with protein product,36736.0,52.0,11481.0,35.0,9501.0,protein coding
HMGCLL1,8657,gene with protein product,144825.0,65.0,16210.0,35.0,12733.0,protein coding
HMGCR,19107,gene with protein product,27673.0,205.0,55498.0,72.0,25256.0,protein coding
HMGCS1,19209,gene with protein product,26043.0,32.0,12120.0,23.0,10578.0,protein coding
HMGCS2,6954,gene with protein product,20904.0,26.0,5849.0,17.0,4216.0,protein coding
HMGN1,19414,gene with protein product,7333.0,127.0,23741.0,56.0,16356.0,protein coding
HMGN2,19385,gene with protein product,4203.0,43.0,9133.0,32.0,8395.0,protein coding
HMGN3,19411,gene with protein product,33445.0,46.0,6493.0,18.0,3411.0,protein coding
HMGN4,18806,gene with protein product,8568.0,4.0,2056.0,4.0,2056.0,protein coding
HMGN5,18729,gene with protein product,88215.0,44.0,6117.0,23.0,4314.0,protein coding
HMGXB3,18946,gene with protein product,53097.0,75.0,18404.0,39.0,11887.0,protein coding
HMGXB4,19207,gene with protein product,38356.0,44.0,13672.0,35.0,12640.0,protein coding
HMHB1,5229,gene with protein product,8556.0,2.0,381.0,2.0,381.0,protein coding
HMMR,16916,gene with protein product,31739.0,87.0,13488.0,34.0,5823.0,protein coding
HMOX1,18595,gene with protein product,13854.0,28.0,8343.0,19.0,6346.0,protein coding
HMOX2,19202,gene with protein product,35658.0,97.0,22321.0,40.0,8542.0,protein coding
HMSD,12143,gene with protein product,32474.0,14.0,3489.0,14.0,3489.0,protein coding
HMX1,4882,gene with protein product,25764.0,4.0,2568.0,4.0,2568.0,protein coding
HMX2,3656,gene with protein product,2537.0,2.0,1614.0,2.0,1614.0,protein coding
HMX3,2615,gene with protein product,3454.0,2.0,2847.0,2.0,2847.0,protein coding
HNF1A,9742,gene with protein product,23970.0,82.0,25942.0,45.0,16396.0,protein coding
HNF1B,8896,gene with protein product,58629.0,35.0,11607.0,15.0,7308.0,protein coding
HNF4A,8348,gene with protein product,77147.0,115.0,32207.0,53.0,20658.0,protein coding
HNF4G,9309,gene with protein product,158921.0,41.0,10899.0,24.0,8572.0,protein coding
HNMT,17848,gene with protein product,52345.0,36.0,7910.0,26.0,6970.0,protein coding
HNRNPA0,19375,gene with protein product,8713.0,1.0,8713.0,1.0,8713.0,protein coding
HNRNPA1,19012,gene with protein product,6896.0,310.0,53994.0,121.0,27092.0,protein coding
HNRNPA1L2,17875,gene with protein product,1343.0,1.0,1343.0,1.0,1343.0,protein coding
HNRNPA1L3,11532,gene with protein product,93697.0,3.0,3247.0,3.0,3247.0,protein coding
HNRNPA2B1,19440,gene with protein product,30379.0,575.0,171802.0,81.0,54273.0,protein coding
HNRNPA3,19442,gene with protein product,11266.0,194.0,88355.0,52.0,37200.0,protein coding
HNRNPAB,19347,gene with protein product,6631.0,52.0,12322.0,21.0,6494.0,protein coding
HNRNPC,19434,gene with protein product,60359.0,222.0,42095.0,81.0,24231.0,protein coding
HNRNPCL1,3725,gene with protein product,1344.0,2.0,1134.0,2.0,1134.0,protein coding
HNRNPCL2,1290,gene with protein product,1367.0,2.0,1156.0,2.0,1156.0,protein coding
HNRNPCL3,431,gene with protein product,2110.0,3.0,3618.0,3.0,3618.0,protein coding
HNRNPCL4,254,gene with protein product,1718.0,1.0,1718.0,1.0,1718.0,protein coding
HNRNPD,19425,gene with protein product,22006.0,125.0,30228.0,47.0,19062.0,protein coding
HNRNPDL,19435,gene with protein product,7898.0,80.0,23826.0,27.0,13172.0,protein coding
HNRNPF,19410,gene with protein product,23570.0,30.0,16824.0,15.0,8776.0,protein coding
HNRNPH1,19401,gene with protein product,20607.0,365.0,68170.0,116.0,31318.0,protein coding
HNRNPH2,18884,gene with protein product,5912.0,2.0,2296.0,2.0,2296.0,protein coding
HNRNPH3,19402,gene with protein product,12020.0,72.0,17685.0,41.0,13334.0,protein coding
HNRNPK,19380,gene with protein product,12549.0,484.0,68837.0,88.0,26761.0,protein coding
HNRNPL,19292,gene with protein product,15978.0,113.0,22456.0,49.0,13261.0,protein coding
HNRNPLL,19236,gene with protein product,41618.0,112.0,24527.0,46.0,13981.0,protein coding
HNRNPM,19419,gene with protein product,44348.0,124.0,18833.0,62.0,12172.0,protein coding
HNRNPR,19197,gene with protein product,40566.0,100.0,32387.0,42.0,17777.0,protein coding
HNRNPU,19392,gene with protein product,23923.0,291.0,123546.0,104.0,81126.0,protein coding
HNRNPUL1,19401,gene with protein product,45292.0,184.0,35991.0,77.0,18512.0,protein coding
HNRNPUL2,17768,gene with protein product,14828.0,16.0,5653.0,16.0,5653.0,protein coding
HOATZ,5775,gene with protein product,22266.0,24.0,5251.0,15.0,4545.0,protein coding
HOGA1,8538,gene with protein product,28480.0,17.0,7406.0,13.0,5748.0,protein coding
HOMER1,18168,gene with protein product,141499.0,29.0,8784.0,15.0,7114.0,protein coding
HOMER2,17977,gene with protein product,149208.0,43.0,19122.0,30.0,16663.0,protein coding
HOMER3,17411,gene with protein product,12061.0,87.0,13269.0,34.0,6544.0,protein coding
HOMEZ,18598,gene with protein product,27375.0,13.0,12037.0,13.0,12037.0,protein coding
HOOK1,17966,gene with protein product,61537.0,139.0,21206.0,64.0,13675.0,protein coding
HOOK2,18904,gene with protein product,109738.0,176.0,24034.0,105.0,17598.0,protein coding
HOOK3,19364,gene with protein product,133590.0,76.0,21180.0,51.0,18681.0,protein coding
HOPX,18737,gene with protein product,33889.0,45.0,20041.0,25.0,11940.0,protein coding
HORMAD1,10841,gene with protein product,22836.0,75.0,9179.0,37.0,5315.0,protein coding
HORMAD2,6540,gene with protein product,96612.0,35.0,5099.0,23.0,3949.0,protein coding
HOTAIR,3154,"RNA, long non-coding",12649.0,32.0,6208.0,19.0,4812.0,lncRNA
HOTAIRM1,17259,"RNA, long non-coding",4619.0,13.0,3729.0,12.0,3541.0,lncRNA
HOTTIP,3600,"RNA, long non-coding",8685.0,8.0,7696.0,8.0,7696.0,lncRNA
HOXA1,11804,gene with protein product,3008.0,5.0,4559.0,5.0,4559.0,protein coding
HOXA2,7322,gene with protein product,2333.0,3.0,3679.0,3.0,3679.0,protein coding
HOXA3,11073,gene with protein product,46400.0,24.0,10734.0,17.0,8820.0,protein coding
HOXA4,9399,gene with protein product,2274.0,6.0,4397.0,6.0,4397.0,protein coding
HOXA5,11519,gene with protein product,2630.0,4.0,1999.0,4.0,1999.0,protein coding
HOXA6,7091,gene with protein product,5208.0,5.0,1803.0,5.0,1803.0,protein coding
HOXA7,10879,gene with protein product,4221.0,7.0,3073.0,7.0,3073.0,protein coding
HOXA9,11933,gene with protein product,12743.0,21.0,7445.0,18.0,7026.0,protein coding
HOXA10,12151,gene with protein product,9657.0,10.0,6963.0,10.0,6963.0,protein coding
HOXA11,5246,gene with protein product,4076.0,5.0,4806.0,5.0,4806.0,protein coding
HOXA13,4224,gene with protein product,6589.0,4.0,5886.0,4.0,5886.0,protein coding
HOXB1,1631,gene with protein product,2486.0,3.0,3448.0,3.0,3448.0,protein coding
HOXB2,16987,gene with protein product,4216.0,6.0,3237.0,6.0,3237.0,protein coding
HOXB3,15397,gene with protein product,56043.0,46.0,20926.0,34.0,16427.0,protein coding
HOXB4,14117,gene with protein product,2844.0,2.0,2002.0,2.0,2002.0,protein coding
HOXB5,8153,gene with protein product,2523.0,2.0,1859.0,2.0,1859.0,protein coding
HOXB6,10392,gene with protein product,9242.0,11.0,4475.0,10.0,3553.0,protein coding
HOXB7,14838,gene with protein product,26341.0,6.0,2369.0,6.0,2369.0,protein coding
HOXB8,5590,gene with protein product,3916.0,6.0,3421.0,6.0,3421.0,protein coding
HOXB9,6418,gene with protein product,5203.0,2.0,2586.0,2.0,2586.0,protein coding
HOXB13,3434,gene with protein product,3988.0,2.0,3039.0,2.0,3039.0,protein coding
HOXC4,12067,gene with protein product,39100.0,9.0,3807.0,9.0,3807.0,protein coding
HOXC5,6391,gene with protein product,2312.0,2.0,1611.0,2.0,1611.0,protein coding
HOXC6,7010,gene with protein product,40200.0,10.0,5490.0,10.0,5490.0,protein coding
HOXC8,5782,gene with protein product,3785.0,2.0,2417.0,2.0,2417.0,protein coding
HOXC9,6042,gene with protein product,8443.0,7.0,3560.0,7.0,3560.0,protein coding
HOXC10,5257,gene with protein product,5215.0,10.0,4738.0,10.0,4738.0,protein coding
HOXC11,3877,gene with protein product,4518.0,4.0,5300.0,4.0,5300.0,protein coding
HOXC12,1430,gene with protein product,4054.0,2.0,3266.0,2.0,3266.0,protein coding
HOXC13,3034,gene with protein product,7714.0,2.0,2357.0,2.0,2357.0,protein coding
HOXD1,8746,gene with protein product,2240.0,2.0,1886.0,2.0,1886.0,protein coding
HOXD3,7377,gene with protein product,36491.0,14.0,8619.0,12.0,7369.0,protein coding
HOXD4,5157,gene with protein product,1677.0,2.0,1136.0,2.0,1136.0,protein coding
HOXD8,8231,gene with protein product,3002.0,11.0,6729.0,10.0,5350.0,protein coding
HOXD9,6618,gene with protein product,2219.0,2.0,1871.0,2.0,1871.0,protein coding
HOXD10,5215,gene with protein product,11148.0,7.0,3701.0,7.0,3701.0,protein coding
HOXD11,4206,gene with protein product,5539.0,4.0,2964.0,4.0,2964.0,protein coding
HOXD12,267,gene with protein product,2695.0,4.0,3390.0,4.0,3390.0,protein coding
HOXD13,2492,gene with protein product,3224.0,2.0,2416.0,2.0,2416.0,protein coding
HP,11799,gene with protein product,6551.0,79.0,17835.0,34.0,13181.0,protein coding
HP1BP3,19436,gene with protein product,47058.0,84.0,23579.0,44.0,17943.0,protein coding
HPCA,8914,gene with protein product,12448.0,15.0,3528.0,12.0,3210.0,protein coding
HPCAL1,19266,gene with protein product,124729.0,42.0,14630.0,23.0,9615.0,protein coding
HPCAL4,12765,gene with protein product,12838.0,12.0,13794.0,6.0,4886.0,protein coding
HPD,10281,gene with protein product,24070.0,39.0,4490.0,29.0,3590.0,protein coding
HPDL,13219,gene with protein product,1816.0,1.0,1816.0,1.0,1816.0,protein coding
HPF1,18823,gene with protein product,28475.0,13.0,2253.0,13.0,2253.0,protein coding
HPGD,18131,gene with protein product,32980.0,75.0,19979.0,41.0,16177.0,protein coding
HPGDS,13754,gene with protein product,44342.0,13.0,2711.0,13.0,2711.0,protein coding
HPN,12027,gene with protein product,26068.0,96.0,16949.0,43.0,8968.0,protein coding
HPR,6707,gene with protein product,14099.0,20.0,4023.0,16.0,3674.0,protein coding
HPRT1,19177,gene with protein product,60349.0,25.0,2718.0,20.0,2320.0,protein coding
HPS1,19289,gene with protein product,36025.0,828.0,173755.0,125.0,44129.0,protein coding
HPS3,19088,gene with protein product,44095.0,59.0,14851.0,35.0,10628.0,protein coding
HPS4,19151,gene with protein product,40825.0,507.0,189460.0,107.0,67883.0,protein coding
HPS5,19086,gene with protein product,43531.0,115.0,22185.0,57.0,13228.0,protein coding
HPS6,18131,gene with protein product,2688.0,1.0,2688.0,1.0,2688.0,protein coding
HPSE,17690,gene with protein product,42693.0,97.0,20490.0,29.0,8453.0,protein coding
HPSE2,8915,gene with protein product,778786.0,55.0,13737.0,19.0,6436.0,protein coding
HPX,10363,gene with protein product,11569.0,53.0,8192.0,40.0,7067.0,protein coding
HPYR1,2310,"RNA, long non-coding",57285.0,7.0,3129.0,7.0,3129.0,lncRNA
HR,10572,gene with protein product,18966.0,77.0,22653.0,41.0,12411.0,protein coding
HRAS,18866,gene with protein product,5080.0,49.0,10009.0,25.0,6096.0,protein coding
HRC,9318,gene with protein product,4199.0,17.0,5175.0,12.0,4872.0,protein coding
HRCT1,10122,gene with protein product,935.0,1.0,935.0,1.0,935.0,protein coding
HRG,4237,gene with protein product,18019.0,15.0,6801.0,15.0,6801.0,protein coding
HRH1,15036,gene with protein product,126465.0,9.0,11982.0,8.0,7427.0,protein coding
HRH2,17177,gene with protein product,52727.0,9.0,11450.0,8.0,9849.0,protein coding
HRH3,4168,gene with protein product,5319.0,8.0,4111.0,7.0,3944.0,protein coding
HRH4,10567,gene with protein product,19325.0,5.0,4573.0,5.0,4573.0,protein coding
HRK,13846,gene with protein product,25298.0,12.0,7590.0,11.0,7480.0,protein coding
HRNR,5928,gene with protein product,12118.0,3.0,9629.0,3.0,9629.0,protein coding
HROB,14684,gene with protein product,20571.0,34.0,9843.0,21.0,5928.0,protein coding
HS1BP3,18778,gene with protein product,90683.0,38.0,19700.0,28.0,18103.0,protein coding
HS2ST1,19084,gene with protein product,195348.0,45.0,26888.0,29.0,24592.0,protein coding
HS3ST1,17128,gene with protein product,36415.0,6.0,8147.0,5.0,7791.0,protein coding
HS3ST2,9135,gene with protein product,102177.0,6.0,4595.0,6.0,4595.0,protein coding
HS3ST3A1,10805,gene with protein product,107898.0,4.0,4936.0,4.0,4936.0,protein coding
HS3ST3B1,17435,gene with protein product,48324.0,5.0,8177.0,5.0,8177.0,protein coding
HS3ST4,7091,gene with protein product,445727.0,4.0,4039.0,4.0,4039.0,protein coding
HS3ST5,6944,gene with protein product,287428.0,7.0,4168.0,7.0,4168.0,protein coding
HS3ST6,5662,gene with protein product,6941.0,2.0,1236.0,2.0,1236.0,protein coding
HS6ST1,18682,gene with protein product,82153.0,9.0,5951.0,9.0,5951.0,protein coding
HS6ST2,10016,gene with protein product,335381.0,27.0,19191.0,15.0,13364.0,protein coding
HS6ST3,7472,gene with protein product,749456.0,2.0,8536.0,2.0,8536.0,protein coding
HSBP1,19392,gene with protein product,100427.0,39.0,27372.0,24.0,20514.0,protein coding
HSBP1L1,18837,gene with protein product,6241.0,13.0,3885.0,13.0,3885.0,protein coding
HSCB,19134,gene with protein product,15477.0,39.0,5966.0,27.0,4526.0,protein coding
HSD3B1,2739,gene with protein product,7857.0,15.0,4843.0,13.0,4448.0,protein coding
HSD3B2,3191,gene with protein product,8105.0,22.0,5989.0,17.0,4966.0,protein coding
HSD3B7,17005,gene with protein product,3941.0,23.0,5863.0,15.0,4877.0,protein coding
HSD11B1,12775,gene with protein product,48772.0,26.0,4427.0,14.0,2716.0,protein coding
HSD11B1L,16486,gene with protein product,7920.0,140.0,27972.0,60.0,14671.0,protein coding
HSD11B2,11870,gene with protein product,6902.0,14.0,3648.0,14.0,3648.0,protein coding
HSD17B1,16986,gene with protein product,2293.0,22.0,5711.0,16.0,4813.0,protein coding
HSD17B2,10613,gene with protein product,63531.0,21.0,12564.0,16.0,11628.0,protein coding
HSD17B3,6453,gene with protein product,66871.0,82.0,8889.0,33.0,4681.0,protein coding
HSD17B4,19269,gene with protein product,184735.0,848.0,132547.0,160.0,48333.0,protein coding
HSD17B6,14595,gene with protein product,35630.0,42.0,10531.0,22.0,5094.0,protein coding
HSD17B7,18937,gene with protein product,22122.0,54.0,11733.0,40.0,9997.0,protein coding
HSD17B8,18499,gene with protein product,2177.0,16.0,1910.0,16.0,1910.0,protein coding
HSD17B10,19149,gene with protein product,3113.0,39.0,9883.0,29.0,8377.0,protein coding
HSD17B11,19339,gene with protein product,54674.0,34.0,5820.0,24.0,4595.0,protein coding
HSD17B12,19343,gene with protein product,175938.0,84.0,15942.0,51.0,13538.0,protein coding
HSD17B13,13183,gene with protein product,19098.0,13.0,4637.0,9.0,4143.0,protein coding
HSD17B14,16962,gene with protein product,23493.0,28.0,3270.0,17.0,2395.0,protein coding
HSDL1,18749,gene with protein product,23052.0,31.0,10740.0,23.0,9586.0,protein coding
HSDL2,19170,gene with protein product,92326.0,42.0,8521.0,24.0,4439.0,protein coding
HSF1,19206,gene with protein product,23130.0,85.0,17419.0,58.0,14374.0,protein coding
HSF2,18756,gene with protein product,33569.0,30.0,5881.0,16.0,3087.0,protein coding
HSF2BP,13474,gene with protein product,130303.0,16.0,2889.0,12.0,2241.0,protein coding
HSF4,16619,gene with protein product,5265.0,221.0,30580.0,96.0,17754.0,protein coding
HSF5,12147,gene with protein product,68242.0,6.0,4118.0,6.0,4118.0,protein coding
HSFX1,1867,gene with protein product,2800.0,2.0,1963.0,2.0,1963.0,protein coding
HSFX2,1000,gene with protein product,2803.0,2.0,1966.0,2.0,1966.0,protein coding
HSFX3,1623,gene with protein product,1715.0,2.0,1256.0,2.0,1256.0,protein coding
HSFX4,1194,gene with protein product,1715.0,2.0,1256.0,2.0,1256.0,protein coding
HSFY1,1222,gene with protein product,42273.0,13.0,5283.0,10.0,3982.0,protein coding
HSFY2,2300,gene with protein product,42296.0,13.0,5348.0,13.0,5348.0,protein coding
HSH2D,18120,gene with protein product,24548.0,46.0,11742.0,31.0,9416.0,protein coding
HSP90AA1,19439,gene with protein product,58958.0,48.0,12371.0,35.0,9868.0,protein coding
HSP90AB1,19446,gene with protein product,7723.0,48.0,10455.0,17.0,3617.0,protein coding
HSP90B1,19451,gene with protein product,23825.0,471.0,103417.0,94.0,34487.0,protein coding
HSPA1A,19098,gene with protein product,2404.0,3.0,4309.0,3.0,4309.0,protein coding
HSPA1B,18847,gene with protein product,2517.0,1.0,2517.0,1.0,2517.0,protein coding
HSPA1L,16915,gene with protein product,5665.0,2.0,2762.0,2.0,2762.0,protein coding
HSPA2,17257,gene with protein product,10269.0,5.0,8354.0,5.0,8354.0,protein coding
HSPA4,19376,gene with protein product,54437.0,26.0,6016.0,26.0,6016.0,protein coding
HSPA4L,16472,gene with protein product,58913.0,74.0,18737.0,28.0,12515.0,protein coding
HSPA5,19432,gene with protein product,6530.0,98.0,62329.0,34.0,26068.0,protein coding
HSPA6,17041,gene with protein product,2355.0,1.0,2355.0,1.0,2355.0,protein coding
HSPA8,19416,gene with protein product,5742.0,121.0,28986.0,63.0,15804.0,protein coding
HSPA9,19417,gene with protein product,21920.0,326.0,80039.0,79.0,26340.0,protein coding
HSPA12A,14530,gene with protein product,179060.0,226.0,131419.0,71.0,45096.0,protein coding
HSPA12B,10995,gene with protein product,20427.0,25.0,6142.0,16.0,3402.0,protein coding
HSPA13,19054,gene with protein product,12370.0,8.0,4565.0,8.0,4565.0,protein coding
HSPA14,18264,gene with protein product,33436.0,23.0,3194.0,19.0,2875.0,protein coding
HSPB1,19390,gene with protein product,1623.0,48.0,13172.0,30.0,7150.0,protein coding
HSPB2,8536,gene with protein product,1360.0,2.0,843.0,2.0,843.0,protein coding
HSPB3,6207,gene with protein product,679.0,1.0,679.0,1.0,679.0,protein coding
HSPB6,11603,gene with protein product,3514.0,9.0,2734.0,8.0,2611.0,protein coding
HSPB7,8468,gene with protein product,5567.0,21.0,11462.0,18.0,9210.0,protein coding
HSPB8,11798,gene with protein product,53301.0,39.0,10424.0,29.0,9687.0,protein coding
HSPB9,9752,gene with protein product,549.0,1.0,549.0,1.0,549.0,protein coding
HSPBAP1,18819,gene with protein product,53833.0,29.0,8551.0,24.0,7678.0,protein coding
HSPBP1,18997,gene with protein product,18159.0,46.0,8615.0,30.0,5609.0,protein coding
HSPD1,19429,gene with protein product,30154.0,260.0,56026.0,64.0,16731.0,protein coding
HSPE1,19047,gene with protein product,3310.0,19.0,4050.0,16.0,3734.0,protein coding
HSPG2,16839,gene with protein product,115067.0,170.0,27520.0,152.0,25419.0,protein coding
HSPH1,19350,gene with protein product,27416.0,107.0,27329.0,49.0,18509.0,protein coding
HTATIP2,19087,gene with protein product,20098.0,38.0,9864.0,23.0,7379.0,protein coding
HTATSF1,19236,gene with protein product,15268.0,31.0,7612.0,16.0,5557.0,protein coding
HTD2,7129,gene with protein product,13932.0,35.0,8976.0,20.0,7702.0,protein coding
HTN1,2720,gene with protein product,8411.0,18.0,5491.0,12.0,5131.0,protein coding
HTN3,1562,gene with protein product,8084.0,28.0,3769.0,15.0,2970.0,protein coding
HTR1A,2214,gene with protein product,4634.0,3.0,5125.0,3.0,5125.0,protein coding
HTR1B,3059,gene with protein product,2568.0,1.0,2568.0,1.0,2568.0,protein coding
HTR1D,5032,gene with protein product,25608.0,2.0,3319.0,2.0,3319.0,protein coding
HTR1E,4866,gene with protein product,79152.0,2.0,1826.0,2.0,1826.0,protein coding
HTR1F,9360,gene with protein product,201134.0,3.0,3386.0,3.0,3386.0,protein coding
HTR2A,8913,gene with protein product,65531.0,8.0,10613.0,8.0,10613.0,protein coding
HTR2B,10907,gene with protein product,16813.0,4.0,2170.0,4.0,2170.0,protein coding
HTR2C,5848,gene with protein product,325984.0,19.0,12683.0,12.0,11492.0,protein coding
HTR3A,9120,gene with protein product,15239.0,56.0,13277.0,23.0,5994.0,protein coding
HTR3B,6152,gene with protein product,44284.0,22.0,6710.0,13.0,5395.0,protein coding
HTR3C,4342,gene with protein product,7627.0,9.0,1699.0,9.0,1699.0,protein coding
HTR3D,2033,gene with protein product,7826.0,26.0,5785.0,20.0,4074.0,protein coding
HTR3E,5085,gene with protein product,9932.0,45.0,8902.0,17.0,3756.0,protein coding
HTR4,7100,gene with protein product,231194.0,73.0,24879.0,36.0,14403.0,protein coding
HTR5A,3691,gene with protein product,17069.0,7.0,7193.0,7.0,7193.0,protein coding
HTR6,5482,gene with protein product,16092.0,3.0,3800.0,3.0,3800.0,protein coding
HTR7,11395,gene with protein product,117217.0,10.0,9528.0,8.0,8206.0,protein coding
HTRA1,15839,gene with protein product,56357.0,24.0,4970.0,11.0,2954.0,protein coding
HTRA2,18970,gene with protein product,3755.0,109.0,23718.0,54.0,15538.0,protein coding
HTRA3,11554,gene with protein product,37345.0,16.0,4562.0,11.0,3896.0,protein coding
HTRA4,12826,gene with protein product,14436.0,9.0,2032.0,9.0,2032.0,protein coding
HTT,19168,gene with protein product,202595.0,469.0,99087.0,172.0,52586.0,protein coding
HULC,5697,"RNA, long non-coding",858566.0,708.0,225594.0,231.0,130268.0,lncRNA
HUNK,12435,gene with protein product,171614.0,24.0,9858.0,19.0,9353.0,protein coding
HUS1,19041,gene with protein product,16328.0,49.0,9022.0,27.0,6349.0,protein coding
HUS1B,11238,gene with protein product,1162.0,1.0,1162.0,1.0,1162.0,protein coding
HUWE1,19310,gene with protein product,154657.0,457.0,79094.0,164.0,28653.0,protein coding
HVCN1,18546,gene with protein product,77110.0,54.0,10555.0,26.0,6097.0,protein coding
HYAL1,12839,gene with protein product,12492.0,32.0,13497.0,19.0,8720.0,protein coding
